Company Name,Company Information
Fourseven Services Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122009
Freecharge Payment Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122016
FTD Floral Pvt Ltd (Maya Flowers),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110024
G. K. Publications Pvt Ltd,"Industry : E -Commerce, Paper , Publishing , PrintingSub Industry : Publication HousesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201307"
GA Media Pvt Ltd(Excitinglives.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110017
Gadgets.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110049
Gaindamull Hemraj Financial Services.(SIPKART Online),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Faridabad / Haryana - 121001"
GB Morrison Travels Pvt Ltd (Bigbreaks.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110048
Gfk Mode Pvt Ltd,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122003
Giftwell Gifting Co,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110042
Gizmeup.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110037
Global Health Mate,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare Equip , MachinesCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110092"
Global Trend Tech(Global E-Auction),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110091
Go Processing Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110020
Go Regalia Clothing,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110031
GoldVIP Technology Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122002
Goods In Stock,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
Grofers India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122018
GST Corporation Ltd ( Healthgenie.in ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110020
Hamee India Pvt Ltd,"Industry : Consumer Durables, Home Appliances, E -Commerce, Leather , AccessoriesSub Industry : Consumer GoodsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122002"
Happily Unmarried Marketing Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110020
Happitive Enterprise Pvt Ltd,"Industry : Entertainment, E -CommerceSub Industry : Theatres , MultiplexesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Heads Up For Tails,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110030
HealthKart.com,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122001"
Heritage Publishers,"Industry : E -Commerce, Paper , Publishing , PrintingSub Industry : Publication HousesCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110002"
High City Retail Pvt Ltd ( Shopatplaces ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110025
High Street Essentials Pvt Ltd ( Faballey ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
HOMZCART.com,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
i2ifunding.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
Ice Digitals Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110030"
ICO Webtech Pvt. Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT- Network Admin , Database , Datacenter , SecurityCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110017"
Images Multimedia Pvt Ltd.,"Industry : Advertising , Media, E -CommerceSub Industry : Newspapers ,  Magazines , JournalsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110020"
IMPJobs.com,"Industry : Consulting, E -CommerceSub Industry : Placement , HRCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110045"
IndiaMART InterMESH Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201305
Indian Institute of Photography.com,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Indian Railway Catering and Tourism Corporation Ltd (IRCTC),"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: New Delhi / Delhi - 110001"
industrybuying.com,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110030
Industrykart E-Commerce Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Info Edge (India) Ltd (Naukri.com),Industry : E -CommerceCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
Info Edge India Ltd (Jeevansathi.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301
Infocom Network Ltd(Tradeindia.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110020
Infodrive India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110019
